M_F_1,M_F_2,M_F_3,M_F_4,M_F_5,M_F_6,M_F_7,M_F_8
0.6240805265195509,0.629500580720093,0.632597754548974,0.6395663956639567,0.6291134339914828,0.6171118854045683,0.6403406891211769,0.6283391405342624
0.6248548199767712,0.629887727448703,0.6322106078203639,0.6384049554781263,0.6283391405342624,0.6174990321331785,0.6411149825783972,0.6283391405342624
0.6252419667053813,0.6291134339914828,0.632597754548974,0.6384049554781263,0.6279519938056524,0.6171118854045683,0.6399535423925667,0.6283391405342624
0.6248548199767712,0.629500580720093,0.6322106078203639,0.6376306620209059,0.6283391405342624,0.6171118854045683,0.6384049554781263,0.6275648470770422
0.6248548199767712,0.629500580720093,0.6322106078203639,0.6387921022067363,0.6283391405342624,0.6171118854045683,0.6399535423925667,0.6283391405342624
0.6248548199767712,0.629500580720093,0.6322106078203639,0.6387921022067363,0.6291134339914828,0.6167247386759582,0.6391792489353465,0.6283391405342624
0.6256291134339915,0.629887727448703,0.632597754548974,0.6384049554781263,0.6287262872628726,0.6167247386759582,0.6407278358497871,0.627177700348432
0.6248548199767712,0.629887727448703,0.632597754548974,0.6380178087495161,0.6283391405342624,0.616337591947348,0.6403406891211769,0.6279519938056524
0.6244676732481611,0.629500580720093,0.632597754548974,0.6384049554781263,0.6279519938056524,0.6167247386759582,0.6387921022067363,0.6283391405342624
0.6248548199767712,0.6287262872628726,0.6322106078203639,0.6387921022067363,0.6283391405342624,0.6171118854045683,0.6403406891211769,0.6275648470770422
0.6244676732481611,0.6302748741773132,0.6318234610917538,0.6387921022067363,0.6283391405342624,0.616337591947348,0.6395663956639567,0.6279519938056524
0.6248548199767712,0.6302748741773132,0.6322106078203639,0.6356949283778552,0.6275648470770422,0.6171118854045683,0.6395663956639567,0.6275648470770422
0.6252419667053813,0.629887727448703,0.6322106078203639,0.6368563685636857,0.6283391405342624,0.6167247386759582,0.6407278358497871,0.6287262872628726
0.6248548199767712,0.6291134339914828,0.632597754548974,0.6384049554781263,0.6291134339914828,0.6171118854045683,0.6399535423925667,0.6279519938056524
0.6252419667053813,0.629500580720093,0.632597754548974,0.6384049554781263,0.6283391405342624,0.616337591947348,0.6387921022067363,0.6279519938056524
0.6252419667053813,0.629500580720093,0.632597754548974,0.6391792489353465,0.6283391405342624,0.616337591947348,0.6391792489353465,0.6279519938056524
0.6252419667053813,0.6302748741773132,0.6314363143631436,0.6391792489353465,0.6283391405342624,0.6171118854045683,0.6411149825783972,0.6279519938056524
0.6248548199767712,0.629500580720093,0.6318234610917538,0.6387921022067363,0.6283391405342624,0.6171118854045683,0.6387921022067363,0.6283391405342624
0.6248548199767712,0.629500580720093,0.6322106078203639,0.6391792489353465,0.629500580720093,0.6167247386759582,0.6411149825783972,0.6275648470770422
0.6256291134339915,0.629887727448703,0.6310491676345334,0.6403406891211769,0.6283391405342624,0.616337591947348,0.6411149825783972,0.6283391405342624
